[177] x: 177	 y: (0, 184)
[178] x: 178	 y: (0, 184)
[179] x: 179	 y: (0, 184)
[180] x: 180	 y: (0, 184)
[181] x: 181	 y: (0, 184)
[182] x: 182	 y: (0, 184)
[183] x: 183	 y: (0, 184)
[184] x: 184	 y: (0, 184)
[185] x: 185	 y: (0, 184)
[186] x: 186	 y: (0, 184)
[187] x: 187	 y: (0, 184)
[188] x: 188	 y: (0, 184)
[189] x: 189	 y: (0, 184)
[190] x: 190	 y: (0, 184)
[191] x: 191	 y: (0, 184)
[192] x: 192	 y: (0, 184)
[193] x: 193	 y: (0, 184)
[194] x: 194	 y: (0, 184)
[195] x: 195	 y: (0, 184)
[196] x: 196	 y: (0, 184)
[197] x: 197	 y: (0, 184)
[198] x: 198	 y: (0, 184)
[199] x: 199	 y: (0, 184)
[200] x: 200	 y: (0, 184)
[201] x: 201	 y: (0, 184)
[202] x: 202	 y: (0, 184)
[203] x: 203	 y: (0, 184)
[204] x: 204	 y: (0, 184)
[205] x: 205	 y: (0, 184)
[206] x: 206	 y: (0, 184)
[207] x: 207	 y: (0, 184)
[208] x: 208	 y: (0, 184)
[209] x: 209	 y: (0, 184)
[210] x: 210	 y: (0, 184)
[211] x: 211	 y: (0, 184)
[212] x: 212	 y: (0, 184)
[213] x: 213	 y: (0, 184)
[214] x: 214	 y: (0, 184)
[215] x: 215	 y: (0, 184)
[216] x: 216	 y: (0, 184)
[217] x: 217	 y: (0, 184)
[218] x: 218	 y: (0, 184)
[219] x: 219	 y: (0, 184)
[220] x: 220	 y: (0, 184)
[221] x: 221	 y: (0, 184)
[222] x: 222	 y: (0, 184)
[223] x: 223	 y: (0, 184)
[224] x: 224	 y: (0, 184)
[225] x: 225	 y: (0, 184)
[226] x: 226	 y: (0, 184)
[227] x: 227	 y: (0, 184)
[228] x: 228	 y: (0, 184)
[229] x: 229	 y: (0, 184)
[230] x: 230	 y: (0, 184)
[231] x: 231	 y: (0, 184)
[232] x: 232	 y: (0, 184)
[233] x: 233	 y: (0, 184)
[234] x: 234	 y: (0, 184)
[235] x: 235	 y: (0, 184)
[236] x: 236	 y: (0, 184)
[237] x: 237	 y: (0, 184)
[238] x: 238	 y: (0, 184)
[239] x: 239	 y: (0, 184)
[240] x: 240	 y: (0, 184)
[241] x: 241	 y: (0, 184)
[242] x: 242	 y: (0, 184)
[243] x: 243	 y: (0, 184)
[244] x: 244	 y: (0, 184)
[245] x: 245	 y: (0, 184)
[246] x: 246	 y: (0, 184)
[247] x: 247	 y: (0, 184)
[248] x: 248	 y: (0, 184)
[249] x: 249	 y: (0, 184)
[250] x: 250	 y: (0, 184)
[251] x: 251	 y: (0, 184)
[252] x: 252	 y: (0, 184)
[253] x: 253	 y: (0, 184)
[254] x: 254	 y: (0, 184)
[255] x: 255	 y: (0, 184)
[256] x: 256	 y: (0, 184)
[257] x: 257	 y: (0, 184)
[258] x: 258	 y: (0, 184)
[259] x: 259	 y: (0, 184)
[260] x: 260	 y: (0, 184)
[261] x: 261	 y: (0, 184)
[262] x: 262	 y: (0, 184)
[263] x: 263	 y: (0, 184)
[264] x: 264	 y: (0, 184)
[265] x: 265	 y: (0, 184)
[266] x: 266	 y: (0, 184)
[267] x: 267	 y: (0, 184)
[268] x: 268	 y: (0, 184)
[269] x: 269	 y: (0, 184)
[270] x: 270	 y: (0, 184)
[271] x: 271	 y: (0, 184)
[272] x: 272	 y: (0, 184)
[273] x: 273	 y: (0, 184)
[274] x: 274	 y: (0, 184)
[275] x: 275	 y: (0, 184)
[276] x: 276	 y: (0, 184)
