[177] x: 245	 y: (134, 143)
[178] x: 246	 y: (135, 144)
[179] x: 247	 y: (135, 145)
[180] x: 248	 y: (136, 146)
[181] x: 249	 y: (136, 147)
[182] x: 250	 y: (137, 148)
[183] x: 251	 y: (137, 149)
[184] x: 252	 y: (138, 150)
[185] x: 253	 y: (138, 151)
[186] x: 254	 y: (140, 152)
[187] x: 255	 y: (140, 153)
[188] x: 256	 y: (141, 154)
[189] x: 257	 y: (141, 155)
[190] x: 258	 y: (142, 156)
[191] x: 259	 y: (142, 157)
[192] x: 260	 y: (142, 158)
[193] x: 261	 y: (143, 159)
[194] x: 262	 y: (143, 160)
[195] x: 263	 y: (143, 161)
[196] x: 264	 y: (143, 162)
[197] x: 265	 y: (144, 163)
[198] x: 266	 y: (145, 164)
[199] x: 267	 y: (145, 165)
[200] x: 268	 y: (146, 166)
[201] x: 269	 y: (147, 167)
[202] x: 270	 y: (147, 168)
[203] x: 271	 y: (148, 169)
[204] x: 272	 y: (148, 170)
[205] x: 273	 y: (149, 171)
[206] x: 274	 y: (149, 172)
[207] x: 275	 y: (150, 173)
[208] x: 276	 y: (150, 174)
[209] x: 277	 y: (150, 169)
[210] x: 278	 y: (152, 170)
[211] x: 279	 y: (152, 171)
[212] x: 280	 y: (152, 172)
[213] x: 281	 y: (153, 173)
[214] x: 282	 y: (153, 174)
[215] x: 283	 y: (153, 172)
[216] x: 284	 y: (154, 173)
[217] x: 285	 y: (154, 173)
[218] x: 286	 y: (155, 174)
[219] x: 287	 y: (155, 174)
[220] x: 288	 y: (156, 175)
[221] x: 289	 y: (156, 175)
[222] x: 290	 y: (158, 176)
[223] x: 291	 y: (158, 176)
[224] x: 292	 y: (159, 177)
[225] x: 293	 y: (159, 177)
[226] x: 294	 y: (160, 175)
[227] x: 295	 y: (160, 176)
[228] x: 296	 y: (160, 177)
[229] x: 297	 y: (161, 178)
[230] x: 298	 y: (161, 178)
[231] x: 299	 y: (162, 178)
[232] x: 300	 y: (162, 179)
[233] x: 301	 y: (163, 178)
[234] x: 302	 y: (163, 178)
[235] x: 303	 y: (164, 179)
[236] x: 304	 y: (164, 180)
[237] x: 305	 y: (166, 181)
[238] x: 306	 y: (167, 182)
[239] x: 307	 y: (168, 183)
[240] x: 308	 y: (168, 184)
[241] x: 309	 y: (168, 185)
[242] x: 310	 y: (169, 186)
[243] x: 311	 y: (169, 187)
[244] x: 312	 y: (170, 188)
[245] x: 313	 y: (170, 189)
[246] x: 314	 y: (170, 190)
[247] x: 315	 y: (171, 191)
[248] x: 316	 y: (171, 192)
[249] x: 317	 y: (171, 193)
[250] x: 318	 y: (172, 194)
[251] x: 319	 y: (172, 195)
[252] x: 320	 y: (173, 196)
[253] x: 321	 y: (173, 197)
[254] x: 322	 y: (174, 198)
[255] x: 323	 y: (174, 199)
[256] x: 324	 y: (174, 200)
[257] x: 325	 y: (175, 201)
[258] x: 326	 y: (176, 202)
[259] x: 327	 y: (177, 203)
[260] x: 328	 y: (177, 204)
[261] x: 329	 y: (178, 205)
[262] x: 330	 y: (178, 195)
[263] x: 331	 y: (179, 196)
[264] x: 332	 y: (179, 197)
[265] x: 333	 y: (179, 198)
[266] x: 334	 y: (180, 199)
[267] x: 335	 y: (180, 200)
[268] x: 336	 y: (181, 201)
[269] x: 337	 y: (182, 202)
[270] x: 338	 y: (182, 203)
[271] x: 339	 y: (183, 204)
[272] x: 340	 y: (183, 205)
[273] x: 341	 y: (183, 206)
[274] x: 342	 y: (184, 207)
[275] x: 343	 y: (184, 208)
[276] x: 344	 y: (185, 209)
[277] x: 345	 y: (185, 210)
[278] x: 346	 y: (186, 211)
[279] x: 347	 y: (193, 206)
[280] x: 348	 y: (193, 204)
[281] x: 349	 y: (194, 205)
[282] x: 350	 y: (194, 206)
[283] x: 351	 y: (195, 207)
[284] x: 352	 y: (195, 208)
[285] x: 353	 y: (196, 209)
[286] x: 354	 y: (197, 210)
[287] x: 355	 y: (199, 211)
[288] x: 356	 y: (199, 212)
[289] x: 357	 y: (200, 213)
[290] x: 358	 y: (202, 214)
[291] x: 359	 y: (203, 213)
[292] x: 360	 y: (204, 214)
[293] x: 361	 y: (204, 215)
[294] x: 362	 y: (204, 216)
[295] x: 363	 y: (208, 217)
[296] x: 364	 y: (209, 218)
[297] x: 365	 y: (209, 219)
[298] x: 366	 y: (210, 220)
[299] x: 367	 y: (210, 221)
[300] x: 368	 y: (211, 222)
[301] x: 369	 y: (211, 223)
[302] x: 370	 y: (212, 224)
[303] x: 371	 y: (212, 225)
[304] x: 372	 y: (213, 226)
[305] x: 373	 y: (213, 227)
[306] x: 374	 y: (215, 228)
[307] x: 375	 y: (223, 225)
